,parent,daughter,loss,count
468,91.06,79.06,12.0,2
469,91.06,81.07,9.990000000000009,3
470,91.06,83.09,7.969999999999999,1
471,91.06,85.03,6.030000000000001,1
472,91.06,85.1,5.960000000000008,1
473,91.06,89.06,2.0,1
474,91.31,55.06,36.25,1
475,91.31,67.06,24.25,1
476,91.31,67.2,24.11,1
477,91.31,68.27,23.040000000000006,1
478,91.31,70.29,21.019999999999996,1
479,91.31,70.51,20.799999999999997,1
480,91.31,74.32,16.99000000000001,1
481,91.31,81.07,10.240000000000009,1
482,91.31,82.36,8.950000000000003,1
483,91.31,89.06,2.25,1
484,91.48,52.61,38.870000000000005,1
485,91.48,55.06,36.42,1
486,91.48,58.17,33.31,1
487,91.48,66.59,24.89,1
488,91.48,67.06,24.42,1
489,91.48,68.79,22.689999999999998,1
490,91.48,69.07,22.41000000000001,2
491,91.48,79.05,12.430000000000007,1
492,91.48,79.06,12.420000000000002,1
493,91.48,79.58,11.900000000000006,1
494,91.48,81.07,10.41000000000001,2
495,91.48,83.09,8.39,1
496,91.48,84.96,6.52000000000001,1
497,91.48,85.03,6.450000000000003,1
498,91.48,86.15,5.329999999999998,1
499,91.48,89.06,2.4200000000000017,1
500,91.48,90.23,1.25,1
501,93.07,55.02,38.04999999999999,2
502,93.07,55.05,38.019999999999996,12
503,93.07,55.06,38.00999999999999,21
504,93.07,55.07,37.99999999999999,1
505,93.07,55.93,37.13999999999999,2
506,93.07,56.67,36.39999999999999,1
507,93.07,56.96,36.10999999999999,1
508,93.07,57.03,36.03999999999999,8
509,93.07,57.07,35.99999999999999,8
510,93.07,59.05,34.019999999999996,1
511,93.07,61.03,32.03999999999999,3
512,93.07,62.06,31.00999999999999,2
513,93.07,64.31,28.75999999999999,1
514,93.07,67.05,26.019999999999996,57
515,93.07,67.06,26.00999999999999,47
516,93.07,67.2,25.86999999999999,1
517,93.07,68.27,24.799999999999997,1
518,93.07,69.03,24.039999999999992,7
519,93.07,69.07,24.0,92
520,93.07,70.29,22.779999999999987,1
521,93.07,70.51,22.559999999999988,1
522,93.07,71.05,22.019999999999996,9
523,93.07,71.09,21.97999999999999,11
524,93.07,73.03,20.039999999999992,3
525,93.07,74.32,18.75,1
526,93.07,79.05,14.019999999999996,77
527,93.07,79.06,14.009999999999991,23
528,93.07,80.06,13.009999999999991,1
529,93.07,81.03,12.039999999999992,8
530,93.07,81.07,12.0,126
531,93.07,82.06,11.009999999999991,9
532,93.07,82.07,11.0,1
533,93.07,82.36,10.709999999999994,1
534,93.07,83.05,10.019999999999996,12
535,93.07,83.09,9.97999999999999,58
536,93.07,84.96,8.11,2
537,93.07,85.03,8.039999999999992,15
538,93.07,85.06,8.009999999999991,3
539,93.07,85.07,8.0,1
540,93.07,85.1,7.969999999999999,8
541,93.07,86.1,6.969999999999999,2
542,93.07,87.04,6.029999999999987,1
543,93.07,88.04,5.029999999999987,1
544,93.07,89.06,4.009999999999991,11
545,93.07,89.81,3.259999999999991,1
546,93.07,90.98,2.089999999999989,7
547,93.07,91.04,2.029999999999987,9
548,93.07,91.05,2.019999999999996,79
549,93.07,91.06,2.009999999999991,3
550,93.07,91.31,1.759999999999991,1
551,93.07,91.48,1.5899999999999892,2
552,94.03,81.02,13.010000000000005,2
553,94.03,89.06,4.969999999999999,2
554,94.07,55.06,39.00999999999999,1
555,94.07,55.93,38.13999999999999,1
556,94.07,56.96,37.10999999999999,1
557,94.07,67.05,27.019999999999996,1
558,94.07,67.06,27.00999999999999,1
559,94.07,67.2,26.86999999999999,1
560,94.07,68.27,25.799999999999997,1
561,94.07,69.07,25.0,1
562,94.07,70.29,23.779999999999987,1
563,94.07,70.51,23.559999999999988,1
564,94.07,74.32,19.75,1
565,94.07,79.05,15.019999999999996,1
566,94.07,80.06,14.009999999999991,1
567,94.07,81.07,13.0,2
568,94.07,82.07,12.0,1
569,94.07,82.36,11.709999999999994,1
570,94.07,86.1,7.969999999999999,1
571,94.07,89.06,5.009999999999991,1
572,94.07,91.05,3.019999999999996,2
573,94.07,91.31,2.759999999999991,1
574,94.07,93.07,1.0,2
575,95.05,55.05,40.0,8
576,95.05,55.06,39.989999999999995,7
577,95.05,55.07,39.98,1
578,95.05,56.67,38.379999999999995,1
579,95.05,57.03,38.019999999999996,2
580,95.05,57.07,37.98,3
581,95.05,59.05,36.0,1
582,95.05,67.05,28.0,19
583,95.05,67.06,27.989999999999995,8
584,95.05,69.03,26.019999999999996,3
585,95.05,69.07,25.980000000000004,26
586,95.05,71.05,24.0,2
587,95.05,71.09,23.959999999999994,1
588,95.05,79.05,16.0,22
589,95.05,79.06,15.989999999999995,5
590,95.05,81.03,14.019999999999996,2
591,95.05,81.07,13.980000000000004,29
592,95.05,82.06,12.989999999999995,1
593,95.05,83.05,12.0,9
594,95.05,83.09,11.959999999999994,14
595,95.05,84.96,10.090000000000003,1
596,95.05,85.03,10.019999999999996,1
597,95.05,85.06,9.989999999999995,2
598,95.05,85.07,9.980000000000004,1
599,95.05,85.1,9.950000000000003,1
600,95.05,89.06,5.989999999999995,4
601,95.05,89.81,5.239999999999995,1
602,95.05,90.98,4.069999999999993,4
603,95.05,91.05,4.0,27
604,95.05,91.06,3.989999999999995,1
605,95.05,91.48,3.569999999999993,1
606,95.05,93.07,1.980000000000004,28
607,95.08,55.02,40.059999999999995,2
608,95.08,55.05,40.03,14
609,95.08,55.93,39.15,3
610,95.08,56.96,38.12,1
611,95.08,57.03,38.05,4
612,95.08,57.07,38.01,7
613,95.08,61.03,34.05,6
614,95.08,62.06,33.019999999999996,4
615,95.08,67.05,28.03,63
616,95.08,69.03,26.049999999999997,11
617,95.08,69.07,26.010000000000005,50
618,95.08,71.05,24.03,8
619,95.08,71.09,23.989999999999995,13
620,95.08,73.03,22.049999999999997,3
621,95.08,79.05,16.03,48
622,95.08,80.06,15.019999999999996,1
623,95.08,81.03,14.049999999999997,13
624,95.08,81.07,14.010000000000005,83
625,95.08,82.06,13.019999999999996,1
626,95.08,82.07,13.010000000000005,1
627,95.08,83.05,12.030000000000001,6
628,95.08,83.08,12.0,1
629,95.08,83.09,11.989999999999995,31
630,95.08,84.96,10.120000000000005,4
631,95.08,85.03,10.049999999999997,19
632,95.08,85.06,10.019999999999996,3
633,95.08,85.1,9.980000000000004,8
634,95.08,86.1,8.980000000000004,1
635,95.08,89.06,6.019999999999996,2
636,95.08,89.81,5.269999999999996,1
637,95.08,90.98,4.099999999999994,7
638,95.08,91.04,4.039999999999992,9
639,95.08,91.05,4.030000000000001,40
640,95.08,91.48,3.5999999999999943,1
641,95.08,93.07,2.010000000000005,65
642,95.08,94.07,1.0100000000000051,1
643,95.09,55.06,40.03,22
644,95.09,55.07,40.02,1
645,95.09,56.67,38.42,1
646,95.09,57.03,38.06,4
647,95.09,57.07,38.02,12
648,95.09,59.05,36.040000000000006,1
649,95.09,60.05,35.040000000000006,2
650,95.09,64.31,30.78,1
651,95.09,67.05,28.040000000000006,6
652,95.09,67.06,28.03,55
653,95.09,67.2,27.89,1
654,95.09,68.27,26.820000000000007,1
655,95.09,69.03,26.060000000000002,2
656,95.09,69.07,26.02000000000001,62
657,95.09,70.29,24.799999999999997,1
658,95.09,70.51,24.58,1
659,95.09,71.05,24.040000000000006,1
660,95.09,71.09,24.0,15
661,95.09,74.32,20.77000000000001,1
662,95.09,79.05,16.040000000000006,23
663,95.09,79.06,16.03,23
664,95.09,81.03,14.060000000000002,3
665,95.09,81.07,14.02000000000001,76
666,95.09,82.36,12.730000000000004,1
667,95.09,83.05,12.040000000000006,7
668,95.09,83.09,12.0,50
669,95.09,85.03,10.060000000000002,9
670,95.09,85.07,10.02000000000001,1
671,95.09,85.1,9.990000000000009,10
672,95.09,89.06,6.030000000000001,10
673,95.09,91.04,4.049999999999997,6
674,95.09,91.05,4.040000000000006,37
675,95.09,91.06,4.030000000000001,3
676,95.09,91.31,3.780000000000001,1
677,95.09,91.48,3.6099999999999994,1
678,95.09,93.07,2.0200000000000102,63
679,95.09,94.07,1.0200000000000102,1
680,96.08,82.06,14.019999999999996,2
681,97.01,88.95,8.060000000000002,1
